ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZMB,71683,Children with symptoms of ARI,13.9,1,ZM,Zambia,1992,ZM1992DHS,CH_ARIS_C_ARI,93966010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCARI,,1992,DHS,3562,3565,,,
ZMB,479737,Children with symptoms of ARI,12.6,1,ZM,Zambia,1992,ZM1992DHS,CH_ARIS_C_ARI,93966010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCARI,,1992,DHS,5396,5395,,,
ZMB,71669,Number of children born in the last five (or three) years,3562,0,ZM,Zambia,1992,ZM1992DHS,CH_ARIS_C_NUM,93966020,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCNUM,,1992,DHS,,3565,,,
ZMB,476339,Number of children born in the last five (or three) years,5396,0,ZM,Zambia,1992,ZM1992DHS,CH_ARIS_C_NUM,93966020,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCNUM,,1992,DHS,,5395,,,
ZMB,72196,Number of children born in the last five (or three) years (unweighted),3565,0,ZM,Zambia,1992,ZM1992DHS,CH_ARIS_C_UNW,93966030,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCUNW,,1992,DHS,3562,,,,
ZMB,15249,Number of children born in the last five (or three) years (unweighted),5395,0,ZM,Zambia,1992,ZM1992DHS,CH_ARIS_C_UNW,93966030,U,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCUNW,,1992,DHS,5396,,,,
ZMB,71793,Children with ARI for whom advice or treatment was sought,78.7,1,ZM,Zambia,1992,ZM1992DHS,CH_ARIS_C_ADV,93966040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCADV,,1992,DHS,496,512,,,
ZMB,340282,Children with ARI for whom advice or treatment was sought,75.3,1,ZM,Zambia,1992,ZM1992DHS,CH_ARIS_C_ADV,93966040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCADV,,1992,DHS,681,695,,,
ZMB,71794,Number of children with symptoms of ARI born in the last five (or three) years,496,0,ZM,Zambia,1992,ZM1992DHS,CH_ARIS_C_NM2,93966060,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCNM2,,1992,DHS,,512,,,
ZMB,379740,Number of children with symptoms of ARI born in the last five (or three) years,681,0,ZM,Zambia,1992,ZM1992DHS,CH_ARIS_C_NM2,93966060,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCNM2,,1992,DHS,,695,,,
