ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZMB,91374,Deaths of adult women,1128,0,ZM,Zambia,1996,ZM1996DHS,MM_AMRT_W_DTH,76933010,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWDTH,,1996,DHS,,,,,
ZMB,30016,Years of exposure to the risk of mortality for women,104364,0,ZM,Zambia,1996,ZM1996DHS,MM_AMRT_W_EXP,76933020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWEXP,,1996,DHS,,102728,,,
ZMB,379010,Years of exposure to the risk of mortality for women (unweighted),102728,0,ZM,Zambia,1996,ZM1996DHS,MM_AMRT_W_EXU,76933030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWEXU,,1996,DHS,104364,,,,
ZMB,634043,Adult female mortality rate,10.61,2,ZM,Zambia,1996,ZM1996DHS,MM_AMRT_W_AMR,76933040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWAMR,,1996,DHS,104364,102728,,,
ZMB,91370,Deaths of adult men,1142,0,ZM,Zambia,1996,ZM1996DHS,MM_AMRT_M_DTH,76934050,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMDTH,,1996,DHS,,,,,
ZMB,91371,Years of exposure to the risk of mortality for men,102665,0,ZM,Zambia,1996,ZM1996DHS,MM_AMRT_M_EXP,76934060,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMEXP,,1996,DHS,,101311,,,
ZMB,323154,Years of exposure to the risk of mortality for men (unweighted),101311,0,ZM,Zambia,1996,ZM1996DHS,MM_AMRT_M_EXU,76934070,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMEXU,,1996,DHS,102665,,,,
ZMB,323152,Adult male mortality rate,11.32,2,ZM,Zambia,1996,ZM1996DHS,MM_AMRT_M_AMR,76934080,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMAMR,,1996,DHS,102665,101311,,,
ZMB,91405,Probability of dying between exact age 15 and 50 (35q15) for women,353,0,ZM,Zambia,1996,ZM1996DHS,MM_AMPB_W_AMP,76963010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMPBWAMP,,1996,DHS,,,,,
ZMB,91378,Probability of dying between exact age 15 and 50 (35q15) for men,407,0,ZM,Zambia,1996,ZM1996DHS,MM_AMPB_M_AMP,76964020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMPBMAMP,,1996,DHS,,,,,
ZMB,91436,Deaths of adult women,1412,0,ZM,Zambia,2002,ZM2002DHS,MM_AMRT_W_DTH,76933010,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWDTH,,2001-02,DHS,,,,,
ZMB,91434,Years of exposure to the risk of mortality for women,97629,0,ZM,Zambia,2002,ZM2002DHS,MM_AMRT_W_EXP,76933020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWEXP,,2001-02,DHS,,97714,,,
ZMB,357898,Years of exposure to the risk of mortality for women (unweighted),97714,0,ZM,Zambia,2002,ZM2002DHS,MM_AMRT_W_EXU,76933030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWEXU,,2001-02,DHS,97629,,,,
ZMB,357878,Adult female mortality rate,14.31,2,ZM,Zambia,2002,ZM2002DHS,MM_AMRT_W_AMR,76933040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWAMR,,2001-02,DHS,97629,97714,,,
ZMB,91424,Deaths of adult men,1362,0,ZM,Zambia,2002,ZM2002DHS,MM_AMRT_M_DTH,76934050,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMDTH,,2001-02,DHS,,,,,
ZMB,529137,Years of exposure to the risk of mortality for men,98538,0,ZM,Zambia,2002,ZM2002DHS,MM_AMRT_M_EXP,76934060,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMEXP,,2001-02,DHS,,98232,,,
ZMB,323155,Years of exposure to the risk of mortality for men (unweighted),98232,0,ZM,Zambia,2002,ZM2002DHS,MM_AMRT_M_EXU,76934070,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMEXU,,2001-02,DHS,98538,,,,
ZMB,519644,Adult male mortality rate,14.01,2,ZM,Zambia,2002,ZM2002DHS,MM_AMRT_M_AMR,76934080,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMAMR,,2001-02,DHS,98538,98232,,,
ZMB,91425,Probability of dying between exact age 15 and 50 (35q15) for women,446,0,ZM,Zambia,2002,ZM2002DHS,MM_AMPB_W_AMP,76963010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMPBWAMP,,2001-02,DHS,,,,,
ZMB,91441,Probability of dying between exact age 15 and 50 (35q15) for men,471,0,ZM,Zambia,2002,ZM2002DHS,MM_AMPB_M_AMP,76964020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMPBMAMP,,2001-02,DHS,,,,,
ZMB,91327,Deaths of adult women,1153,0,ZM,Zambia,2007,ZM2007DHS,MM_AMRT_W_DTH,76933010,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWDTH,,2007,DHS,,,,,
ZMB,538190,Years of exposure to the risk of mortality for women,87290,0,ZM,Zambia,2007,ZM2007DHS,MM_AMRT_W_EXP,76933020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWEXP,,2007,DHS,,86282,,,
ZMB,91359,Years of exposure to the risk of mortality for women (unweighted),86282,0,ZM,Zambia,2007,ZM2007DHS,MM_AMRT_W_EXU,76933030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWEXU,,2007,DHS,87290,,,,
ZMB,538189,Adult female mortality rate,13.22,2,ZM,Zambia,2007,ZM2007DHS,MM_AMRT_W_AMR,76933040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWAMR,,2007,DHS,87290,86282,,,
ZMB,91324,Deaths of adult men,1032,0,ZM,Zambia,2007,ZM2007DHS,MM_AMRT_M_DTH,76934050,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMDTH,,2007,DHS,,,,,
ZMB,655566,Years of exposure to the risk of mortality for men,90287,0,ZM,Zambia,2007,ZM2007DHS,MM_AMRT_M_EXP,76934060,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMEXP,,2007,DHS,,88972,,,
ZMB,307347,Years of exposure to the risk of mortality for men (unweighted),88972,0,ZM,Zambia,2007,ZM2007DHS,MM_AMRT_M_EXU,76934070,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMEXU,,2007,DHS,90287,,,,
ZMB,650767,Adult male mortality rate,11.89,2,ZM,Zambia,2007,ZM2007DHS,MM_AMRT_M_AMR,76934080,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMAMR,,2007,DHS,90287,88972,,,
ZMB,91353,Probability of dying between exact age 15 and 50 (35q15) for women,421,0,ZM,Zambia,2007,ZM2007DHS,MM_AMPB_W_AMP,76963010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMPBWAMP,,2007,DHS,,,,,
