ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZMB,35898,Population using an improved water source,49.4,1,ZM,Zambia,1992,ZM1992DHS,WS_SRCE_P_IMP,250162010,I,1000,0,Total,Total,0,,1,1,WSSRCEPIMP,,1992,DHS,34808,33882,,,
ZMB,35896,Population using water piped into dwelling,31.4,1,ZM,Zambia,1992,ZM1992DHS,WS_SRCE_P_PIP,250162020,I,1000,0,Total,Total,0,,1,1,WSSRCEPPIP,,1992,DHS,34808,33882,,,
ZMB,35899,Population using a public tap/standpipe,17.9,1,ZM,Zambia,1992,ZM1992DHS,WS_SRCE_P_TAP,250162030,I,1000,0,Total,Total,0,,1,1,WSSRCEPTAP,,1992,DHS,34808,33882,,,
ZMB,35951,Population with improved water source on the premises,32.7,1,ZM,Zambia,1992,ZM1992DHS,WS_SRCE_P_IOP,250162190,I,1000,0,Total,Total,0,,1,1,WSSRCEPIOP,,1992,DHS,34808,33882,,,
ZMB,35953,Population with basic water service,47.3,1,ZM,Zambia,1992,ZM1992DHS,WS_SRCE_P_BAS,250162200,I,1000,0,Total,Total,0,,1,1,WSSRCEPBAS,,1992,DHS,34808,33882,,,
ZMB,35952,Population with limited water service,2.1,1,ZM,Zambia,1992,ZM1992DHS,WS_SRCE_P_LTD,250162210,I,1000,0,Total,Total,0,,1,1,WSSRCEPLTD,,1992,DHS,34808,33882,,,
ZMB,35950,Population with water more than 30 minutes away round trip,9.4,1,ZM,Zambia,1992,ZM1992DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,,1,1,WSTIMEPM30,,1992,DHS,34808,33882,,,
ZMB,657673,Population with an improved sanitation facility,28.5,1,ZM,Zambia,1992,ZM1992DHS,WS_TLET_P_IMP,250262010,I,1000,0,Total,Total,0,,1,1,WSTLETPIMP,,1992,DHS,34808,33882,,,
ZMB,657680,Population with an unimproved sanitation facility,42.4,1,ZM,Zambia,1992,ZM1992DHS,WS_TLET_P_NIM,250262150,I,1000,0,Total,Total,0,,1,1,WSTLETPNIM,,1992,DHS,34808,33882,,,
ZMB,657676,Population using open defecation,29.1,1,ZM,Zambia,1992,ZM1992DHS,WS_TLET_P_NFC,250262210,I,1000,0,Total,Total,0,,1,1,WSTLETPNFC,,1992,DHS,34808,33882,,,
ZMB,461454,Households with one room for sleeping,30.9,1,ZM,Zambia,1992,ZM1992DHS,HC_RMSL_H_1RM,260361010,I,1000,0,Total,Total,0,,1,1,HCRMSLH1RM,,1992,DHS,6207,6206,,,
ZMB,197967,Mean number of persons per sleeping room,2.6,1,ZM,Zambia,1992,ZM1992DHS,HC_PPRM_H_MNP,260531070,I,1000,0,Total,Total,0,,1,1,HCPPRMHMNP,,1992,DHS,,,,,
ZMB,325326,Mean number of household members,5.6,1,ZM,Zambia,1992,ZM1992DHS,HC_MEMB_H_MNM,260831120,I,1000,0,Total,Total,0,,1,1,HCMEMBHMNM,,1992,DHS,6209,6209,,,
ZMB,551868,Population using an improved water source,46.6,1,ZM,Zambia,1996,ZM1996DHS,WS_SRCE_P_IMP,250162010,I,1000,0,Total,Total,0,,1,1,WSSRCEPIMP,,1996,DHS,39120,38539,,,
ZMB,551870,Population using water piped into dwelling,21,1,ZM,Zambia,1996,ZM1996DHS,WS_SRCE_P_PIP,250162020,I,1000,0,Total,Total,0,,1,1,WSSRCEPPIP,,1996,DHS,39120,38539,,,
ZMB,551872,Population using a public tap/standpipe,15.9,1,ZM,Zambia,1996,ZM1996DHS,WS_SRCE_P_TAP,250162030,I,1000,0,Total,Total,0,,1,1,WSSRCEPTAP,,1996,DHS,39120,38539,,,
ZMB,551888,Population with improved water source on the premises,22.1,1,ZM,Zambia,1996,ZM1996DHS,WS_SRCE_P_IOP,250162190,I,1000,0,Total,Total,0,,1,1,WSSRCEPIOP,,1996,DHS,39120,38539,,,
