ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZMB,115157,Total fertility rate 15-49,6.5,1,ZM,Zambia,1992,ZM1992DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,1992,DHS,,,,,
ZMB,115160,General fertility rate,219,0,ZM,Zambia,1992,ZM1992DHS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,1992,DHS,,,,,
ZMB,1712,Mean number of children ever born,3.1,2,ZM,Zambia,1992,ZM1992DHS,FE_CEBA_W_MNC,11863150,I,1000,0,Total,Total,0,,1,1,FECEBAWMNC,,1992,DHS,7060,7060,,,
ZMB,1708,Mean number of living children,2.57,2,ZM,Zambia,1992,ZM1992DHS,FE_CEBA_W_MNL,11863160,I,1000,0,Total,Total,0,,1,1,FECEBAWMNL,,1992,DHS,7060,7060,,,
ZMB,115180,Median age at first birth for women age 25-49,18.5,1,ZM,Zambia,1992,ZM1992DHS,FE_AAFB_W_M2B,12103080,I,1000,0,Total,Total,0,,1,1,FEAAFBWM2B,,1992,DHS,,,,,
ZMB,768545,Women who want no more children,24.1,1,ZM,Zambia,1992,ZM1992DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,1000,Total,1,1,PRDESLWWNM,,1992,DHS,,4467,,,
ZMB,503551,Women who want no more children,1,1,ZM,Zambia,1992,ZM1992DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189000,Living children: 0,1,0,PRDESLWWNM,,1992,DHS,,329,,,
ZMB,37368,Women who want no more children,3,1,ZM,Zambia,1992,ZM1992DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189001,Living children: 1,1,0,PRDESLWWNM,,1992,DHS,,818,,,
ZMB,186310,Women who want no more children,7.7,1,ZM,Zambia,1992,ZM1992DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189002,Living children: 2,1,0,PRDESLWWNM,,1992,DHS,,712,,,
ZMB,473717,Women who want no more children,10.5,1,ZM,Zambia,1992,ZM1992DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189003,Living children: 3,1,0,PRDESLWWNM,,1992,DHS,,620,,,
ZMB,20750,Women who want no more children,24.3,1,ZM,Zambia,1992,ZM1992DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189004,Living children: 4,1,0,PRDESLWWNM,,1992,DHS,,485,,,
ZMB,186249,Women who want no more children,33.6,1,ZM,Zambia,1992,ZM1992DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189005,Living children: 5,1,0,PRDESLWWNM,,1992,DHS,,431,,,
ZMB,488121,Women who want no more children,61.8,1,ZM,Zambia,1992,ZM1992DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189006,Living children: 6+,1,0,PRDESLWWNM,,1992,DHS,,1072,,,
ZMB,186200,Mean ideal number of children for all women,5.8,1,ZM,Zambia,1992,ZM1992DHS,PR_MIDL_W_MNA,22263010,I,1000,0,Total,Total,0,,1,1,PRMIDLWMNA,,1992,DHS,6624,6636,,,
ZMB,186347,Total wanted fertility rate,5.4,1,ZM,Zambia,1992,ZM1992DHS,PR_WTFR_W_WFR,22333010,I,1000,0,Total,Total,0,,1,1,PRWTFRWWFR,,1992,DHS,,,,,
ZMB,245147,Married women currently using any method of contraception,15.2,1,ZM,Zambia,1992,ZM1992DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,,1,1,FPCUSMWANY,,1992,DHS,4457,4467,,,
ZMB,245148,Married women currently using any modern method of contraception,8.9,1,ZM,Zambia,1992,ZM1992DHS,FP_CUSM_W_MOD,32633020,I,1000,0,Total,Total,0,,1,1,FPCUSMWMOD,,1992,DHS,4457,4467,,,
ZMB,533822,Unmet need for family planning,30,1,ZM,Zambia,1992,ZM1992DHS,FP_NADM_W_UNT,32933030,I,1000,0,Total,Total,0,,1,1,FPNADMWUNT,,1992,DHS,4457,4467,,,
ZMB,245196,Demand for family planning satisfied,33.6,1,ZM,Zambia,1992,ZM1992DHS,FP_NADM_W_PDS,32933140,I,1000,0,Total,Total,0,,1,1,FPNADMWPDS,,1992,DHS,2015,1982,,,
ZMB,245197,Demand for family planning satisfied by modern methods,19.6,1,ZM,Zambia,1992,ZM1992DHS,FP_NADM_W_PDM,32933150,I,1000,0,Total,Total,0,,1,1,FPNADMWPDM,,1992,DHS,2015,1982,,,
ZMB,720204,Current marital status [Women]: Married or living in union,63.1,1,ZM,Zambia,1992,ZM1992DHS,MA_MSTA_W_UNI,41503090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MAMSTAWUNI,,1992,DHS,7060,7060,,,
ZMB,225930,Median age at first marriage [Women]: 25-49,17.4,1,ZM,Zambia,1992,ZM1992DHS,MA_AAFM_W_M2B,41633090,I,1000,0,Total,Total,0,,1,1,MAAAFMWM2B,,1992,DHS,,,,,
ZMB,225988,Median age at first sexual intercourse [Women]: 25-49,16.3,1,ZM,Zambia,1992,ZM1992DHS,SX_AAFS_W_M2B,51703090,I,1000,0,Total,Total,0,,1,1,SXAAFSWM2B,,1992,DHS,,,,,
ZMB,802767,Neonatal mortality rate,43,0,ZM,Zambia,1992,ZM1992DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,1992,DHS,,,37,48,
