ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZMB,115157,Total fertility rate 15-49,6.5,1,ZM,Zambia,1992,ZM1992DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,1992,DHS,,,,,
ZMB,245147,Married women currently using any method of contraception,15.2,1,ZM,Zambia,1992,ZM1992DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,,1,1,FPCUSMWANY,,1992,DHS,4457,4467,,,
ZMB,245148,Married women currently using any modern method of contraception,8.9,1,ZM,Zambia,1992,ZM1992DHS,FP_CUSM_W_MOD,32633020,I,1000,0,Total,Total,0,,1,1,FPCUSMWMOD,,1992,DHS,4457,4467,,,
ZMB,533822,Unmet need for family planning,30,1,ZM,Zambia,1992,ZM1992DHS,FP_NADM_W_UNT,32933030,I,1000,0,Total,Total,0,,1,1,FPNADMWUNT,,1992,DHS,4457,4467,,,
ZMB,245197,Demand for family planning satisfied by modern methods,19.6,1,ZM,Zambia,1992,ZM1992DHS,FP_NADM_W_PDM,32933150,I,1000,0,Total,Total,0,,1,1,FPNADMWPDM,,1992,DHS,2015,1982,,,
ZMB,225930,Median age at first marriage [Women]: 25-49,17.4,1,ZM,Zambia,1992,ZM1992DHS,MA_AAFM_W_M2B,41633090,I,1000,0,Total,Total,0,,1,1,MAAAFMWM2B,,1992,DHS,,,,,
ZMB,225988,Median age at first sexual intercourse [Women]: 25-49,16.3,1,ZM,Zambia,1992,ZM1992DHS,SX_AAFS_W_M2B,51703090,I,1000,0,Total,Total,0,,1,1,SXAAFSWM2B,,1992,DHS,,,,,
ZMB,11690,Infant mortality rate,107,0,ZM,Zambia,1992,ZM1992DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1992,DHS,,,97,118,
ZMB,61255,Infant mortality rate,98,0,ZM,Zambia,1992,ZM1992DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1992,DHS,,,90,106,
ZMB,61506,Under-five mortality rate,191,0,ZM,Zambia,1992,ZM1992DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1992,DHS,,,178,205,
ZMB,101306,Under-five mortality rate,178,0,ZM,Zambia,1992,ZM1992DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1992,DHS,,,166,190,
ZMB,72397,Place of delivery: Health facility,50.6,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCDHF,,1992,DHS,4064,4074,,,
ZMB,565393,Place of delivery: Health facility,50.6,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCDHF,,1992,DHS,6279,6299,,,
ZMB,371548,Place of delivery: Health facility,50.1,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCDHF,,1992,DHS,2774,2791,,,
ZMB,307445,Fully vaccinated (8 basic antigens),66.6,1,ZM,Zambia,1992,ZM1992DHS,CH_VACC_C_BAS,93906230,I,1000,0,Total,Total,0,,1,1,CHVACCCBAS,,1992,DHS,1123,1134,,,
ZMB,71675,Treatment of diarrhea: Either ORS or RHF,65,1,ZM,Zambia,1992,ZM1992DHS,CH_DIAT_C_ORT,94096040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCORT,,1992,DHS,984,981,,,
ZMB,542919,Treatment of diarrhea: Either ORS or RHF,63.6,1,ZM,Zambia,1992,ZM1992DHS,CH_DIAT_C_ORT,94096040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCORT,,1992,DHS,1217,1208,,,
