ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZMB,782580,HIV prevalence among women,17.8,1,ZM,Zambia,2002,ZM2002DHS,HA_HIVP_W_HIV,135963160,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWHIV,,2001-02,DHS,2073,2133,12.8,22.7,
ZMB,94540,Number of women interviewed and tested,2073,0,ZM,Zambia,2002,ZM2002DHS,HA_HIVP_W_NUM,135963170,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWNUM,,2001-02,DHS,,2133,,,
ZMB,94544,Number of women interviewed and tested (unweighted),2133,0,ZM,Zambia,2002,ZM2002DHS,HA_HIVP_W_UNW,135963180,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWUNW,,2001-02,DHS,2073,,,,
ZMB,773981,HIV prevalence among men,12.9,1,ZM,Zambia,2002,ZM2002DHS,HA_HIVP_M_HIV,135964190,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMHIV,,2001-02,DHS,1734,1679,8.6,17.3,
ZMB,457508,Number of men interviewed and tested,1734,0,ZM,Zambia,2002,ZM2002DHS,HA_HIVP_M_NUM,135964200,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMNUM,,2001-02,DHS,,1679,,,
ZMB,432117,Number of men interviewed and tested (unweighted),1679,0,ZM,Zambia,2002,ZM2002DHS,HA_HIVP_M_UNW,135964210,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMUNW,,2001-02,DHS,1734,,,,
ZMB,54141,HIV prevalence among general population,15.6,1,ZM,Zambia,2002,ZM2002DHS,HA_HIVP_B_HIV,135965220,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPBHIV,,2001-02,DHS,3807,3812,11,20.1,
ZMB,645252,Number of persons interviewed and tested,3807,0,ZM,Zambia,2002,ZM2002DHS,HA_HIVP_B_NUM,135965230,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPBNUM,,2001-02,DHS,,3812,,,
ZMB,317930,Number of persons interviewed and tested (unweighted),3812,0,ZM,Zambia,2002,ZM2002DHS,HA_HIVP_B_UNW,135965240,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPBUNW,,2001-02,DHS,3807,,,,
ZMB,395109,HIV prevalence among women,16.1,1,ZM,Zambia,2007,ZM2007DHS,HA_HIVP_W_HIV,135963160,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWHIV,,2007,DHS,5502,5715,14.4,17.7,
ZMB,210078,Number of women interviewed and tested,5502,0,ZM,Zambia,2007,ZM2007DHS,HA_HIVP_W_NUM,135963170,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWNUM,,2007,DHS,,5715,,,
ZMB,395026,Number of women interviewed and tested (unweighted),5715,0,ZM,Zambia,2007,ZM2007DHS,HA_HIVP_W_UNW,135963180,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWUNW,,2007,DHS,5502,,,,
ZMB,802899,HIV prevalence among men,12.3,1,ZM,Zambia,2007,ZM2007DHS,HA_HIVP_M_HIV,135964190,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMHIV,,2007,DHS,4942,4755,10.9,13.6,
