ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZMB,115154,Age specific fertility rate: 10-14,1,0,ZM,Zambia,1992,ZM1992DHS,FE_FRTR_W_A10,11763005,I,1000,0,Total,Total,0,,1,1,FEFRTRWA10,,1992,DHS,,,,,
ZMB,115155,Age specific fertility rate: 15-19,156,0,ZM,Zambia,1992,ZM1992DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,1992,DHS,,,,,
ZMB,245197,Demand for family planning satisfied by modern methods,19.6,1,ZM,Zambia,1992,ZM1992DHS,FP_NADM_W_PDM,32933150,I,1000,0,Total,Total,0,,1,1,FPNADMWPDM,,1992,DHS,2015,1982,,,
ZMB,521501,Demand for family planning satisfied by modern methods (all women),21.2,1,ZM,Zambia,1992,ZM1992DHS,FP_NADA_W_PDM,32963150,I,1000,0,Total,Total,0,,1,1,FPNADAWPDM,,1992,DHS,2322,2289,,,
ZMB,718879,Demand for family planning satisfied by modern methods (sexually active unmarried women),47.4,1,ZM,Zambia,1992,ZM1992DHS,FP_NADU_W_PDM,33003150,I,1000,0,Total,Total,0,,1,1,FPNADUWPDM,,1992,DHS,111,108,,,
ZMB,613140,Women first married by exact age 15,18.2,1,ZM,Zambia,1992,ZM1992DHS,MA_MBAG_W_B15,41603010,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB15,,1992,DHS,3635,3661,,,
ZMB,613141,Women first married by exact age 18,58.6,1,ZM,Zambia,1992,ZM1992DHS,MA_MBAG_W_B18,41603020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB18,,1992,DHS,3635,3661,,,
ZMB,802767,Neonatal mortality rate,43,0,ZM,Zambia,1992,ZM1992DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,1992,DHS,,,37,48,
ZMB,62371,Neonatal mortality rate,40,0,ZM,Zambia,1992,ZM1992DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,1992,DHS,,,36,44,
ZMB,61506,Under-five mortality rate,191,0,ZM,Zambia,1992,ZM1992DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1992,DHS,,,178,205,
ZMB,101306,Under-five mortality rate,178,0,ZM,Zambia,1992,ZM1992DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1992,DHS,,,166,190,
ZMB,71768,Assistance during delivery from a skilled provider,49.7,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACSKP,,1992,DHS,4064,4074,,,
ZMB,568624,Assistance during delivery from a skilled provider,49.8,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACSKP,,1992,DHS,6279,6299,,,
ZMB,295607,Assistance during delivery from a skilled provider,49.1,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACSKP,,1992,DHS,2774,2791,,,
ZMB,307451,DPT 3 vaccination received,76.8,1,ZM,Zambia,1992,ZM1992DHS,CH_VACC_C_DP3,93906040,I,1000,0,Total,Total,0,,1,1,CHVACCCDP3,,1992,DHS,1123,1134,,,
ZMB,644823,Children stunted,46.4,1,ZM,Zambia,1992,ZM1992DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,1992,DHS,4920,4922,,,
ZMB,310308,Children wasted,6.2,1,ZM,Zambia,1992,ZM1992DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,1992,DHS,4920,4922,,,
ZMB,310309,Children overweight,4.6,1,ZM,Zambia,1992,ZM1992DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHP,,1992,DHS,4920,4922,,,
ZMB,657676,Population using open defecation,29.1,1,ZM,Zambia,1992,ZM1992DHS,WS_TLET_P_NFC,250262210,I,1000,0,Total,Total,0,,1,1,WSTLETPNFC,,1992,DHS,34808,33882,,,
ZMB,520744,Population with electricity,23.2,1,ZM,Zambia,1992,ZM1992DHS,HC_ELEC_P_ELC,260322010,I,1000,0,Total,Total,0,,1,1,HCELECPELC,,1992,DHS,34808,33882,,,
ZMB,115201,Age specific fertility rate: 10-14,2,0,ZM,Zambia,1996,ZM1996DHS,FE_FRTR_W_A10,11763005,I,1000,0,Total,Total,0,,1,1,FEFRTRWA10,,1996,DHS,,,,,
ZMB,115202,Age specific fertility rate: 15-19,158,0,ZM,Zambia,1996,ZM1996DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,1996,DHS,,,,,
ZMB,246136,Demand for family planning satisfied by modern methods,28.1,1,ZM,Zambia,1996,ZM1996DHS,FP_NADM_W_PDM,32933150,I,1000,0,Total,Total,0,,1,1,FPNADMWPDM,,1996,DHS,2504,2448,,,
ZMB,383017,Demand for family planning satisfied by modern methods (all women),28.9,1,ZM,Zambia,1996,ZM1996DHS,FP_NADA_W_PDM,32963150,I,1000,0,Total,Total,0,,1,1,FPNADAWPDM,,1996,DHS,3123,3068,,,
ZMB,404679,Demand for family planning satisfied by modern methods (sexually active unmarried women),27.8,1,ZM,Zambia,1996,ZM1996DHS,FP_NADU_W_PDM,33003150,I,1000,0,Total,Total,0,,1,1,FPNADUWPDM,,1996,DHS,316,325,,,
ZMB,433313,Women first married by exact age 15,15.9,1,ZM,Zambia,1996,ZM1996DHS,MA_MBAG_W_B15,41603010,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB15,,1996,DHS,4187,4216,,,
ZMB,433314,Women first married by exact age 18,53.1,1,ZM,Zambia,1996,ZM1996DHS,MA_MBAG_W_B18,41603020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB18,,1996,DHS,4187,4216,,,
ZMB,101457,Neonatal mortality rate,35,0,ZM,Zambia,1996,ZM1996DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,1996,DHS,,,31,40,
ZMB,785931,Neonatal mortality rate,36,0,ZM,Zambia,1996,ZM1996DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,1996,DHS,,,32,40,
ZMB,101454,Under-five mortality rate,197,0,ZM,Zambia,1996,ZM1996DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1996,DHS,,,186,208,
ZMB,795628,Under-five mortality rate,192,0,ZM,Zambia,1996,ZM1996DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1996,DHS,,,183,202,
ZMB,786692,Pregnancy-related mortality ratio,649,0,ZM,Zambia,1996,ZM1996DHS,MM_MMRO_W_PMR,77033020,I,1000,0,Total,Total,0,,1,1,MMMMROWPMR,,1996,DHS,,,519,780,
ZMB,644169,Assistance during delivery from a skilled provider,44.2,1,ZM,Zambia,1996,ZM1996DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACSKP,,1996,DHS,4449,4518,,,
ZMB,351720,Assistance during delivery from a skilled provider,46,1,ZM,Zambia,1996,ZM1996DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACSKP,,1996,DHS,7159,7248,,,
ZMB,328025,Assistance during delivery from a skilled provider,43.1,1,ZM,Zambia,1996,ZM1996DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACSKP,,1996,DHS,2964,3003,,,
ZMB,140143,DPT 3 vaccination received,85.7,1,ZM,Zambia,1996,ZM1996DHS,CH_VACC_C_DP3,93906040,I,1000,0,Total,Total,0,,1,1,CHVACCCDP3,,1996,DHS,1347,1348,,,
ZMB,415587,Children stunted,48.5,1,ZM,Zambia,1996,ZM1996DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,1996,DHS,5455,5517,,,
ZMB,675822,Children wasted,5.2,1,ZM,Zambia,1996,ZM1996DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,1996,DHS,5455,5517,,,
ZMB,675823,Children overweight,6,1,ZM,Zambia,1996,ZM1996DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHP,,1996,DHS,5455,5517,,,
ZMB,384513,Population using open defecation,27,1,ZM,Zambia,1996,ZM1996DHS,WS_TLET_P_NFC,250262210,I,1000,0,Total,Total,0,,1,1,WSTLETPNFC,,1996,DHS,39120,38539,,,
ZMB,605850,Population with electricity,20.2,1,ZM,Zambia,1996,ZM1996DHS,HC_ELEC_P_ELC,260322010,I,1000,0,Total,Total,0,,1,1,HCELECPELC,,1996,DHS,39120,38539,,,
ZMB,115266,Age specific fertility rate: 10-14,2,0,ZM,Zambia,2002,ZM2002DHS,FE_FRTR_W_A10,11763005,I,1000,0,Total,Total,0,,1,1,FEFRTRWA10,,2001-02,DHS,,,,,
ZMB,115267,Age specific fertility rate: 15-19,160,0,ZM,Zambia,2002,ZM2002DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,2001-02,DHS,,,,,
ZMB,733893,Demand for family planning satisfied by modern methods,41,1,ZM,Zambia,2002,ZM2002DHS,FP_NADM_W_PDM,32933150,I,1000,0,Total,Total,0,,1,1,FPNADMWPDM,,2001-02,DHS,2898,2837,,,
ZMB,502088,Demand for family planning satisfied by modern methods (all women),41.5,1,ZM,Zambia,2002,ZM2002DHS,FP_NADA_W_PDM,32963150,I,1000,0,Total,Total,0,,1,1,FPNADAWPDM,,2001-02,DHS,3475,3419,,,
ZMB,48954,Demand for family planning satisfied by modern methods (sexually active unmarried women),43.7,1,ZM,Zambia,2002,ZM2002DHS,FP_NADU_W_PDM,33003150,I,1000,0,Total,Total,0,,1,1,FPNADUWPDM,,2001-02,DHS,218,230,,,
ZMB,773123,Women first married by exact age 15,13.3,1,ZM,Zambia,2002,ZM2002DHS,MA_MBAG_W_B15,41603010,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB15,,2001-02,DHS,4182,4204,,,
ZMB,773124,Women first married by exact age 18,52.2,1,ZM,Zambia,2002,ZM2002DHS,MA_MBAG_W_B18,41603020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB18,,2001-02,DHS,4182,4204,,,
ZMB,71648,Neonatal mortality rate,37,0,ZM,Zambia,2002,ZM2002DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,2001-02,DHS,,,31,42,
ZMB,101539,Neonatal mortality rate,33,0,ZM,Zambia,2002,ZM2002DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,2001-02,DHS,,,29,37,
ZMB,801866,Under-five mortality rate,168,0,ZM,Zambia,2002,ZM2002DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,2001-02,DHS,,,156,181,
ZMB,101540,Under-five mortality rate,168,0,ZM,Zambia,2002,ZM2002DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,2001-02,DHS,,,158,178,
ZMB,797926,Pregnancy-related mortality ratio,729,0,ZM,Zambia,2002,ZM2002DHS,MM_MMRO_W_PMR,77033020,I,1000,0,Total,Total,0,,1,1,MMMMROWPMR,,2001-02,DHS,,,586,872,
ZMB,395195,Assistance during delivery from a skilled provider,41.5,1,ZM,Zambia,2002,ZM2002DHS,RH_DELA_C_SKP,83606110,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACSKP,,2001-02,DHS,4140,4292,,,
