ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
ZMB,744165,Households with at least one insecticide-treated mosquito net (ITN),11.8,1,ZM,Zambia,2002,ZM2002DHS,ML_NETP_H_ITN,124661020,I,1000,0,Total,Total,0,,1,1,MLNETPHITN,,2001-02,DHS,7126,7126,,,
ZMB,163174,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,2.4,1,ZM,Zambia,2002,ZM2002DHS,ML_NETP_H_IT2,124661100,I,1000,0,Total,Total,0,,1,1,MLNETPHIT2,,2001-02,DHS,7096,7088,,,
ZMB,25922,Persons with access to an insecticide-treated mosquito net (ITN),6.3,1,ZM,Zambia,2002,ZM2002DHS,ML_ITNA_P_ACC,124732130,I,1000,0,Total,Total,0,,1,1,MLITNAPACC,,2001-02,DHS,36209,35941,,,
ZMB,401275,Population who slept under an insecticide-treated mosquito net (ITN) last night,6.1,1,ZM,Zambia,2002,ZM2002DHS,ML_NETU_P_ITN,124762020,I,1000,0,Total,Total,0,,1,1,MLNETUPITN,,2001-02,DHS,36209,35941,,,
ZMB,708474,Children under 5 who slept under an insecticide-treated net (ITN),7.3,1,ZM,Zambia,2002,ZM2002DHS,ML_NETC_C_ITN,124836020,I,1000,0,Total,Total,0,,1,1,MLNETCCITN,,2001-02,DHS,6291,6397,,,
ZMB,533294,Children under 5 who slept under an insecticide-treated mosquito net (ITN) last night of those living in a household with at least one ITN,61,1,ZM,Zambia,2002,ZM2002DHS,ML_NETC_C_IT1,124836070,I,1000,0,Total,Total,0,,1,1,MLNETCCIT1,,2001-02,DHS,756,794,,,
ZMB,733370,Pregnant women who slept under an insecticide-treated net (ITN),8.9,1,ZM,Zambia,2002,ZM2002DHS,ML_NETW_W_ITN,124863020,I,1000,0,Total,Total,0,,1,1,MLNETWWITN,,2001-02,DHS,798,803,,,
ZMB,649851,Pregnant women who slept under insecticide-treated mosquito net (ITN) last night of those living in a household with at least one ITN,67.9,1,ZM,Zambia,2002,ZM2002DHS,ML_NETW_W_IT1,124863070,I,1000,0,Total,Total,0,,1,1,MLNETWWIT1,,2001-02,DHS,105,108,,,
ZMB,25929,Children with fever for whom advice or treatment was sought,71.9,1,ZM,Zambia,2002,ZM2002DHS,ML_FEVT_C_ADV,124966010,I,1000,0,Total,Total,0,,1,1,MLFEVTCADV,,2001-02,DHS,2495,2611,,,
ZMB,33716,Households with at least one insecticide-treated mosquito net (ITN),53.3,1,ZM,Zambia,2007,ZM2007DHS,ML_NETP_H_ITN,124661020,I,1000,0,Total,Total,0,,1,1,MLNETPHITN,,2007,DHS,7164,7164,,,
ZMB,692444,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,18.1,1,ZM,Zambia,2007,ZM2007DHS,ML_NETP_H_IT2,124661100,I,1000,0,Total,Total,0,,1,1,MLNETPHIT2,,2007,DHS,7133,7134,,,
ZMB,437820,Persons with access to an insecticide-treated mosquito net (ITN),33.9,1,ZM,Zambia,2007,ZM2007DHS,ML_ITNA_P_ACC,124732130,I,1000,0,Total,Total,0,,1,1,MLITNAPACC,,2007,DHS,33864,33794,,,
ZMB,163205,Population who slept under an insecticide-treated mosquito net (ITN) last night,23,1,ZM,Zambia,2007,ZM2007DHS,ML_NETU_P_ITN,124762020,I,1000,0,Total,Total,0,,1,1,MLNETUPITN,,2007,DHS,33864,33794,,,
ZMB,685324,Children under 5 who slept under an insecticide-treated net (ITN),28.5,1,ZM,Zambia,2007,ZM2007DHS,ML_NETC_C_ITN,124836020,I,1000,0,Total,Total,0,,1,1,MLNETCCITN,,2007,DHS,6247,6242,,,
ZMB,757960,Children under 5 who slept under an insecticide-treated mosquito net (ITN) last night of those living in a household with at least one ITN,48.6,1,ZM,Zambia,2007,ZM2007DHS,ML_NETC_C_IT1,124836070,I,1000,0,Total,Total,0,,1,1,MLNETCCIT1,,2007,DHS,3666,3755,,,
